,Volcano Number,Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
741,300125,Akademia Nauk,['Russia'],Stratovolcano,Eruption Observed,22.0,Kamchatka and Mainland Asia,53.98,159.45,1180,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
996,331031,North Gorda Ridge Segment,['Undersea Features'],Submarine,Eruption Observed,22.0,Hawaii and Pacific Ocean,42.67,-126.78,-3000,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
586,283260,Akita-Yakeyama,['Japan'],Stratovolcano,Eruption Observed,21.0,"Japan, Taiwan, Marianas",39.964,140.757,1366,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
854,311190,Amukta,['United States'],Stratovolcano,Eruption Observed,21.0,Alaska,52.5,-171.252,1066,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
1335,360101,"Watt, Morne",['Dominica'],Stratovolcano,Eruption Observed,21.0,West Indies,15.307,-61.305,1224,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
561,283090,Niigata-Yakeyama,['Japan'],Lava dome,Eruption Observed,20.0,"Japan, Taiwan, Marianas",36.921,138.036,2400,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
889,312110,Chiginagak,['United States'],Stratovolcano,Eruption Observed,20.0,Alaska,57.135,-156.99,2221,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1111,344070,"Negro, Cerro",['Nicaragua'],Pyroclastic cone,Eruption Observed,19.0,México and Central America,12.506,-86.702,728,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1373,377020,East Gakkel Ridge at 85°E,['Undersea Features'],Submarine,Evidence Credible,19.0,Iceland and Arctic Ocean,85.608,85.25,-3800,,"['Rift zone', 'Oceanic crust']"
675,290100,Moyorodake [Medvezhia],"['Japan ', ' administered by Russia']",Stratovolcano,Eruption Observed,19.0,Kuril Islands,45.389,148.838,1124,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
409,263350,Ijen,['Indonesia'],Stratovolcano,Eruption Observed,19.0,Indonesia,-8.058,114.242,2769,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
151,224010,Cameroon,['Cameroon'],Stratovolcano,Eruption Observed,18.0,Africa and Red Sea,4.203,9.17,4095,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Continental crust']"
726,300060,Mutnovsky,['Russia'],Complex,Eruption Observed,18.0,Kamchatka and Mainland Asia,52.449,158.196,2288,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
412,264010,Batur,['Indonesia'],Caldera,Eruption Observed,18.0,Indonesia,-8.242,115.375,1717,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
347,261030,Peuet Sague,['Indonesia'],Complex,Eruption Observed,18.0,Indonesia,4.914,96.329,2801,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1381,382050,Terceira,['Portugal'],Stratovolcano,Eruption Observed,18.0,Atlantic Ocean,38.73,-27.32,1023,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
645,285020,Hokkaido-Komagatake,['Japan'],Stratovolcano,Eruption Observed,18.0,"Japan, Taiwan, Marianas",42.063,140.677,1131,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1359,372070,Hekla,['Iceland'],Stratovolcano,Eruption Observed,18.0,Iceland and Arctic Ocean,63.983,-19.666,1490,Andesite / Basaltic Andesite,"['Rift zone', 'Oceanic crust']"
365,261220,Kaba,['Indonesia'],Stratovolcano,Eruption Observed,18.0,Indonesia,-3.522,102.615,1940,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
421,264090,Inielika,['Indonesia'],Complex,Eruption Observed,17.0,Indonesia,-8.73,120.98,1559,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
249,243091,Unnamed,['Tonga'],Submarine,Eruption Observed,17.0,New Zealand to Fiji,-18.325,-174.365,-40,Dacite,"['Subduction zone', 'Oceanic crust']"
646,285030,Toya,['Japan'],Stratovolcano,Eruption Observed,17.0,"Japan, Taiwan, Marianas",42.544,140.839,733,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
734,300100,Avachinsky,['Russia'],Stratovolcano,Eruption Observed,17.0,Kamchatka and Mainland Asia,53.256,158.836,2717,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1160,352020,Guagua Pichincha,['Ecuador'],Stratovolcano,Eruption Observed,16.0,South America,-0.171,-78.598,4784,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
453,267010,Ruang,['Indonesia'],Stratovolcano,Eruption Observed,16.0,Indonesia,2.3,125.37,725,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
381,263100,Papandayan,['Indonesia'],Stratovolcano,Eruption Observed,16.0,Indonesia,-7.32,107.73,2665,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
604,284090,Izu-Torishima,['Japan'],Stratovolcano,Eruption Observed,16.0,"Japan, Taiwan, Marianas",30.484,140.303,394,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
1399,385052,Walvis Ridge at 33°S,['Undersea Features'],Submarine,Eruption Observed,16.0,Atlantic Ocean,-32.958,-5.22,-1200,,"['Intraplate', 'Oceanic crust']"
430,264200,Leroboleng,['Indonesia'],Complex,Eruption Observed,15.0,Indonesia,-8.365,122.833,1095,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
259,244000,Vailulu'u,['United States'],Submarine,Eruption Observed,15.0,New Zealand to Fiji,-14.215,-169.058,-592,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
1014,334040,Northern EPR at 10.7°N,['Undersea Features'],Submarine,Eruption Observed,15.0,Hawaii and Pacific Ocean,10.73,-103.58,-2900,Basalt / Picro-Basalt,"['Intraplate', 'Oceanic crust']"
429,264180,Lewotobi,['Indonesia'],Stratovolcano,Eruption Observed,15.0,Indonesia,-8.542,122.775,1703,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
652,285050,Tokachidake,['Japan'],Stratovolcano,Eruption Observed,14.0,"Japan, Taiwan, Marianas",43.418,142.686,2077,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
456,267040,Awu,['Indonesia'],Stratovolcano,Eruption Observed,14.0,Indonesia,3.689,125.447,1318,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
1401,386011,Nightingale Island,['United Kingdom'],Stratovolcano,Eruption Observed,14.0,Atlantic Ocean,-37.42,-12.48,365,Trachyte / Trachydacite,"['Rift zone', 'Oceanic crust']"
210,234070,Marion Island,['South Africa'],Shield,Eruption Observed,14.0,Middle East and Indian Ocean,-46.9,37.75,1230,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
333,257060,Epi,['Vanuatu'],Stratovolcano,Eruption Observed,14.0,Melanesia and Australia,-16.68,168.37,833,Basalt / Picro-Basalt,"['Subduction zone', 'Intermediate crust']"
66,221113,Dabbahu,['Ethiopia'],Stratovolcano,Eruption Observed,13.0,Africa and Red Sea,12.595,40.48,1401,Basalt / Picro-Basalt,"['Rift zone', 'Intermediate crust']"
445,266020,Ambang,['Indonesia'],Complex,Eruption Observed,13.0,Indonesia,0.75,124.42,1795,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1087,343020,Santa Ana,['El Salvador'],Stratovolcano,Eruption Observed,13.0,México and Central America,13.853,-89.63,2381,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1178,353050,"Negra, Sierra",['Ecuador'],Shield,Eruption Observed,13.0,South America,-0.83,-91.17,1124,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
204,234011,McDonald Islands,['Australia'],Complex,Eruption Observed,13.0,Middle East and Indian Ocean,-53.03,72.6,230,Phonolite,"['Intraplate', 'Oceanic crust']"
1015,334050,Northern EPR at 9.8°N,['Undersea Features'],Submarine,Eruption Observed,12.0,Hawaii and Pacific Ocean,9.83,-104.3,-2500,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
247,243080,Home Reef,['Tonga'],Submarine,Eruption Observed,12.0,New Zealand to Fiji,-18.992,-174.775,-10,Dacite,"['Subduction zone', 'Oceanic crust']"
236,242030,Raoul Island,['New Zealand'],Stratovolcano,Eruption Observed,12.0,New Zealand to Fiji,-29.27,-177.92,516,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
905,312260,Fourpeaked,['United States'],Stratovolcano,Eruption Observed,12.0,Alaska,58.77,-153.672,2105,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
907,313010,Augustine,['United States'],Lava dome,Eruption Observed,12.0,Alaska,59.363,-153.43,1252,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
193,233010,Karthala,['Comoros'],Shield,Eruption Observed,11.0,Middle East and Indian Ocean,-11.75,43.38,2361,Basalt / Picro-Basalt,"['Intraplate', 'Oceanic crust']"
332,257050,Lopevi,['Vanuatu'],Stratovolcano,Eruption Observed,11.0,Melanesia and Australia,-16.507,168.346,1413,Basalt / Picro-Basalt,"['Subduction zone', 'Intermediate crust']"
281,251070,Ritter Island,['Papua New Guinea'],Stratovolcano,Eruption Observed,11.0,Melanesia and Australia,-5.519,148.115,75,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1427,390081,Montagu Island,['United Kingdom'],Shield,Eruption Observed,11.0,Antarctica,-58.445,-26.374,1370,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
360,261160,Talang,['Indonesia'],Stratovolcano,Eruption Observed,11.0,Indonesia,-0.979,100.681,2575,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
461,268040,Gamkonora,['Indonesia'],Stratovolcano,Eruption Observed,11.0,Indonesia,1.38,127.53,1635,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
222,241100,Ruapehu,['New Zealand'],Stratovolcano,Eruption Observed,11.0,New Zealand to Fiji,-39.28,175.57,2797,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
321,255060,Kavachi,['Solomon Islands'],Submarine,Eruption Observed,11.0,Melanesia and Australia,-8.991,157.979,-20,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
852,311161,Korovin,['United States'],Stratovolcano,Eruption Observed,11.0,Alaska,52.381,-174.166,1518,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1179,353060,"Azul, Cerro",['Ecuador'],Shield,Eruption Observed,10.0,South America,-0.92,-91.408,1640,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
289,252070,Krummel-Garbuna-Welcker,['Papua New Guinea'],Stratovolcano,Eruption Observed,10.0,Melanesia and Australia,-5.416,150.027,564,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
227,241130,Rumble III,['New Zealand'],Submarine,Eruption Observed,10.0,New Zealand to Fiji,-35.745,178.478,-220,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
865,311290,Okmok,['United States'],Shield,Eruption Observed,10.0,Alaska,53.43,-168.13,1073,Basalt / Picro-Basalt,"['Subduction zone', 'Intermediate crust']"
42,221010,"Tair, Jebel at",['Yemen'],Stratovolcano,Eruption Observed,10.0,Africa and Red Sea,15.55,41.83,244,Trachybasalt / Tephrite Basanite,"['Rift zone', 'Oceanic crust']"
948,321050,St. Helens,['United States'],Stratovolcano,Eruption Observed,10.0,Canada and Western USA,46.2,-122.18,2549,Dacite,"['Subduction zone', 'Continental crust']"
256,243120,Tafu-Maka,['Tonga'],Submarine,Eruption Observed,10.0,New Zealand to Fiji,-15.37,-174.23,-1400,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
635,284200,Anatahan,['United States'],Stratovolcano,Eruption Observed,10.0,"Japan, Taiwan, Marianas",16.35,145.67,790,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
849,311130,Kasatochi,['United States'],Stratovolcano,Eruption Observed,10.0,Alaska,52.177,-175.508,314,Basalt / Picro-Basalt,"['Subduction zone', 'Intermediate crust']"
50,221060,Alu-Dalafilla,['Ethiopia'],Fissure vent,Eruption Observed,10.0,Africa and Red Sea,13.793,40.553,578,Basalt / Picro-Basalt,"['Rift zone', 'Intermediate crust']"
655,285070,Akan,['Japan'],Caldera,Eruption Observed,10.0,"Japan, Taiwan, Marianas",43.384,144.013,1499,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
427,264160,Egon,['Indonesia'],Stratovolcano,Eruption Observed,10.0,Indonesia,-8.676,122.455,1661,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
691,290240,Sarychev Peak,['Russia'],Stratovolcano,Eruption Observed,9.0,Kuril Islands,48.092,153.2,1496,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
257,243130,West Mata,['Tonga'],Submarine,Eruption Observed,9.0,New Zealand to Fiji,-15.1,-173.75,-1174,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
733,300090,Koryaksky,['Russia'],Stratovolcano,Eruption Observed,9.0,Kamchatka and Mainland Asia,53.321,158.712,3430,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
909,313030,Redoubt,['United States'],Stratovolcano,Eruption Observed,9.0,Alaska,60.485,-152.742,3108,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1284,357110,Llaima,['Chile'],Stratovolcano,Eruption Observed,9.0,South America,-38.692,-71.729,3125,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
68,221115,Manda Hararo,['Ethiopia'],Shield,Eruption Observed,9.0,Africa and Red Sea,12.17,40.82,600,Basalt / Picro-Basalt,"['Rift zone', 'Intermediate crust']"
615,284130,Fukutoku-Oka-no-Ba,['Japan'],Submarine,Eruption Observed,8.0,"Japan, Taiwan, Marianas",24.285,141.481,-29,Trachyandesite / Basaltic Trachyandesite,"['Subduction zone', 'Crustal thickness unknow']"
727,300070,Gorely,['Russia'],Caldera,Eruption Observed,8.0,Kamchatka and Mainland Asia,52.559,158.03,1799,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1355,372020,Eyjafjallajokull,['Iceland'],Stratovolcano,Eruption Observed,8.0,Iceland and Arctic Ocean,63.633,-19.633,1651,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
639,284211,NW Rota-1,['United States'],Submarine,Eruption Observed,8.0,"Japan, Taiwan, Marianas",14.601,144.775,-517,Basalt / Picro-Basalt,"['Subduction zone', 'Crustal thickness unknow']"
1129,345033,Arenal,['Costa Rica'],Stratovolcano,Eruption Observed,8.0,México and Central America,10.463,-84.703,1670,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
596,284040,Miyakejima,['Japan'],Stratovolcano,Eruption Observed,8.0,"Japan, Taiwan, Marianas",34.094,139.526,775,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
634,284193,South Sarigan Seamount,['United States'],Submarine,Eruption Observed,8.0,"Japan, Taiwan, Marianas",16.58,145.78,-184,,"['Subduction zone', 'Crustal thickness unknow']"
694,290270,Ekarma,['Russia'],Stratovolcano,Eruption Observed,8.0,Kuril Islands,48.958,153.93,1170,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
48,221041,Dallol,['Ethiopia'],Explosion crater,Eruption Observed,7.0,Africa and Red Sea,14.242,40.3,-48,,"['Rift zone', 'Intermediate crust']"
1307,358041,Chaiten,['Chile'],Caldera,Eruption Observed,7.0,South America,-42.833,-72.646,1122,Rhyolite,"['Subduction zone', 'Continental crust']"
1261,357040,Planchon-Peteroa,['Chile'],Stratovolcano,Eruption Observed,7.0,South America,-35.223,-70.568,3977,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1316,358057,"Hudson, Cerro",['Chile'],Stratovolcano,Eruption Observed,7.0,South America,-45.9,-72.97,1905,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
328,257020,Gaua,['Vanuatu'],Stratovolcano,Eruption Observed,7.0,Melanesia and Australia,-14.27,167.5,797,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
1360,373010,Grimsvotn,['Iceland'],Caldera,Eruption Observed,7.0,Iceland and Arctic Ocean,64.416,-17.316,1719,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
1120,344120,Concepcion,['Nicaragua'],Stratovolcano,Eruption Observed,7.0,México and Central America,11.538,-85.622,1700,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
629,284170,Pagan,['United States'],Stratovolcano,Eruption Observed,6.0,"Japan, Taiwan, Marianas",18.13,145.8,570,Basalt / Picro-Basalt,"['Subduction zone', 'Crustal thickness unknow']"
613,284120,Ioto,['Japan'],Caldera,Eruption Observed,6.0,"Japan, Taiwan, Marianas",24.751,141.289,169,Trachyandesite / Basaltic Trachyandesite,"['Subduction zone', 'Crustal thickness unknow']"
846,311110,Kanaga,['United States'],Stratovolcano,Eruption Observed,6.0,Alaska,51.923,-177.168,1307,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
291,252080,Witori,['Papua New Guinea'],Caldera,Eruption Observed,6.0,Melanesia and Australia,-5.576,150.516,724,Dacite,"['Subduction zone', 'Continental crust']"
1293,357150,Puyehue-Cordon Caulle,['Chile'],Stratovolcano,Eruption Observed,6.0,South America,-40.59,-72.117,2236,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1390,383020,Hierro,['Spain'],Shield,Eruption Observed,6.0,Atlantic Ocean,27.73,-18.03,1500,Trachybasalt / Tephrite Basanite,"['Intraplate', 'Oceanic crust']"
1143,351050,"Huila, Nevado del",['Colombia'],Stratovolcano,Eruption Observed,6.0,South America,2.93,-76.03,5364,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
237,242050,Monowai,['New Zealand'],Submarine,Eruption Observed,6.0,New Zealand to Fiji,-25.887,-177.188,-132,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
56,221101,Nabro,['Eritrea'],Stratovolcano,Eruption Observed,6.0,Africa and Red Sea,13.37,41.7,2218,Trachyte / Trachydacite,"['Rift zone', 'Intermediate crust']"
221,241080,Tongariro,['New Zealand'],Stratovolcano,Eruption Observed,6.0,New Zealand to Fiji,-39.157,175.632,1978,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
432,264230,Lewotolo,['Indonesia'],Stratovolcano,Eruption Observed,6.0,Indonesia,-8.272,123.505,1423,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
232,242005,Havre Seamount,['New Zealand'],Submarine,Eruption Observed,6.0,New Zealand to Fiji,-31.08,-179.033,-897,,"['Subduction zone', 'Oceanic crust']"
754,300230,Kizimen,['Russia'],Stratovolcano,Eruption Observed,5.0,Kamchatka and Mainland Asia,55.131,160.32,2334,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
885,312070,Veniaminof,['United States'],Stratovolcano,Eruption Observed,5.0,Alaska,56.17,-159.38,2507,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
43,221020,Zubair Group,['Yemen'],Shield,Eruption Observed,5.0,Africa and Red Sea,15.05,42.18,191,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
1330,360050,Soufriere Hills,['United Kingdom'],Stratovolcano,Eruption Observed,5.0,West Indies,16.72,-62.18,915,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
537,282060,Kikai,['Japan'],Caldera,Eruption Observed,5.0,"Japan, Taiwan, Marianas",30.793,130.305,704,Rhyolite,"['Subduction zone', 'Oceanic crust']"
426,264150,Paluweh,['Indonesia'],Stratovolcano,Eruption Observed,5.0,Indonesia,-8.32,121.708,875,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
434,264250,Iliwerung,['Indonesia'],Complex,Eruption Observed,5.0,Indonesia,-8.53,123.57,1018,Basalt / Picro-Basalt,"['Subduction zone', 'Crustal thickness unknow']"
755,300240,Tolbachik,['Russia'],Shield,Eruption Observed,5.0,Kamchatka and Mainland Asia,55.832,160.326,3611,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
670,290070,Etorofu-Yakeyama [Grozny Group],"['Japan ', ' administered by Russia']",Complex,Eruption Observed,5.0,Kuril Islands,45.012,147.871,1158,Andesite / Basaltic Andesite,"['Subduction zone', 'Intermediate crust']"
380,263090,Tangkubanparahu,['Indonesia'],Stratovolcano,Eruption Observed,5.0,Indonesia,-6.77,107.6,2084,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
624,284141,Ahyi,['United States'],Submarine,Eruption Dated,4.0,"Japan, Taiwan, Marianas",20.42,145.03,-75,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
399,263280,Kelut,['Indonesia'],Stratovolcano,Eruption Observed,4.0,Indonesia,-7.93,112.308,1731,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
277,251030,Karkar,['Papua New Guinea'],Stratovolcano,Eruption Observed,4.0,Melanesia and Australia,-4.649,145.964,1839,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
554,283040,Ontakesan,['Japan'],Complex,Eruption Observed,4.0,"Japan, Taiwan, Marianas",35.893,137.48,3067,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
388,263180,Slamet,['Indonesia'],Stratovolcano,Eruption Observed,4.0,Indonesia,-7.242,109.208,3428,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
297,252140,Rabaul,['Papua New Guinea'],Pyroclastic shield,Eruption Observed,4.0,Melanesia and Australia,-4.271,152.203,688,Dacite,"['Subduction zone', 'Continental crust']"
129,222120,"Lengai, Ol Doinyo",['Tanzania'],Stratovolcano,Eruption Observed,4.0,Africa and Red Sea,-2.764,35.914,2962,Foidite,"['Rift zone', 'Continental crust']"
1148,351080,Galeras,['Colombia'],Complex,Eruption Observed,4.0,South America,1.22,-77.37,4276,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
244,243060,Tofua,['Tonga'],Caldera,Eruption Observed,4.0,New Zealand to Fiji,-19.75,-175.07,515,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
1428,390090,Saunders,['United Kingdom'],Stratovolcano,Eruption Observed,3.0,Antarctica,-57.8,-26.483,843,Basalt / Picro-Basalt,"['Subduction zone', 'Oceanic crust']"
1300,358020,Calbuco,['Chile'],Stratovolcano,Eruption Observed,3.0,South America,-41.33,-72.618,1974,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
994,331021,Axial Seamount,['Undersea Features'],Submarine,Eruption Observed,3.0,Hawaii and Pacific Ocean,45.95,-130.0,-1410,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
871,311360,Shishaldin,['United States'],Stratovolcano,Eruption Observed,3.0,Alaska,54.756,-163.97,2857,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1361,373030,Bardarbunga,['Iceland'],Stratovolcano,Eruption Observed,3.0,Iceland and Arctic Ocean,64.633,-17.516,2000,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
642,284305,Mariana Back-Arc Segment at 15.5°N,['United States'],Submarine,Eruption Dated,3.0,"Japan, Taiwan, Marianas",15.406,144.506,-4100,,"['Subduction zone', 'Oceanic crust']"
408,263340,Raung,['Indonesia'],Stratovolcano,Eruption Observed,3.0,Indonesia,-8.119,114.056,3260,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
551,283020,Hakoneyama,['Japan'],Complex,Eruption Dated,3.0,"Japan, Taiwan, Marianas",35.233,139.021,1438,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
242,243040,Hunga Tonga-Hunga Ha'apai,['Tonga'],Submarine,Eruption Observed,3.0,New Zealand to Fiji,-20.536,-175.382,114,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
1395,384010,Fogo,['Cape Verde'],Stratovolcano,Eruption Observed,3.0,Atlantic Ocean,14.95,-24.35,2829,Foidite,"['Intraplate', 'Intermediate crust']"
1175,353020,Wolf,['Ecuador'],Shield,Eruption Observed,3.0,South America,0.02,-91.35,1710,Basalt / Picro-Basalt,"['Rift zone', 'Oceanic crust']"
436,264270,Sirung,['Indonesia'],Complex,Eruption Observed,3.0,Indonesia,-8.508,124.13,862,Andesite / Basaltic Andesite,"['Subduction zone', 'Crustal thickness unknow']"
536,282050,Kuchinoerabujima,['Japan'],Stratovolcano,Eruption Observed,3.0,"Japan, Taiwan, Marianas",30.443,130.217,657,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
449,266100,Lokon-Empung,['Indonesia'],Stratovolcano,Eruption Observed,3.0,Indonesia,1.358,124.792,1580,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
435,264260,"Tara, Batu",['Indonesia'],Stratovolcano,Eruption Observed,3.0,Indonesia,-7.791,123.585,633,Trachybasalt / Tephrite Basanite,"['Subduction zone', 'Oceanic crust']"
563,283110,Asamayama,['Japan'],Complex,Eruption Observed,3.0,"Japan, Taiwan, Marianas",36.406,138.523,2568,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
405,263310,Tengger Caldera,['Indonesia'],Stratovolcano,Eruption Observed,2.0,Indonesia,-7.942,112.95,2329,Trachyandesite / Basaltic Trachyandesite,"['Subduction zone', 'Continental crust']"
544,282110,Asosan,['Japan'],Caldera,Eruption Observed,2.0,"Japan, Taiwan, Marianas",32.884,131.104,1592,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
446,266030,Soputan,['Indonesia'],Stratovolcano,Eruption Observed,2.0,Indonesia,1.112,124.737,1785,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
1109,344040,Telica,['Nicaragua'],Stratovolcano,Eruption Observed,2.0,México and Central America,12.606,-86.84,1036,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1113,344090,Momotombo,['Nicaragua'],Stratovolcano,Eruption Observed,2.0,México and Central America,12.423,-86.539,1270,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
736,300120,Zhupanovsky,['Russia'],Compound,Eruption Observed,2.0,Kamchatka and Mainland Asia,53.589,159.15,2899,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
216,241040,White Island,['New Zealand'],Stratovolcano,Eruption Observed,2.0,New Zealand to Fiji,-37.52,177.18,321,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
361,261170,Kerinci,['Indonesia'],Stratovolcano,Eruption Observed,2.0,Indonesia,-1.697,101.264,3800,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
465,268060,Gamalama,['Indonesia'],Stratovolcano,Eruption Observed,2.0,Indonesia,0.8,127.33,1715,Andesite / Basaltic Andesite,"['Subduction zone', 'Oceanic crust']"
1167,352050,Cotopaxi,['Ecuador'],Stratovolcano,Eruption Observed,2.0,South America,-0.677,-78.436,5911,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
705,290390,Alaid,['Russia'],Stratovolcano,Eruption Observed,2.0,Kuril Islands,50.861,155.565,2285,Basalt / Picro-Basalt,"['Subduction zone', 'Continental crust']"
1170,352080,Tungurahua,['Ecuador'],Stratovolcano,Eruption Observed,2.0,South America,-1.467,-78.442,5023,Andesite / Basaltic Andesite,"['Subduction zone', 'Continental crust']"
